scope,submission_id,episode_id,error,recorded_at
submission,55106363,,"list episodes for submission 55106363 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:48:59.050398Z
submission,55109061,,"list episodes for submission 55109061 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:57:16.537702Z
submission,55109984,,"list episodes for submission 55109984 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:43:49.475228Z
submission,55126075,,"list episodes for submission 55126075 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:54:09.470703Z
submission,55132728,,"list episodes for submission 55132728 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:50:00.829618Z
submission,55134263,,"list episodes for submission 55134263 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:44:51.337746Z
submission,55137818,,"list episodes for submission 55137818 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:38:37.493243Z
submission,55138264,,"list episodes for submission 55138264 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:45:53.329003Z
submission,55143076,,"list episodes for submission 55143076 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:40:43.143905Z
submission,55148208,,"list episodes for submission 55148208 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T04:00:23.764545Z
submission,55148565,,"list episodes for submission 55148565 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:59:21.535692Z
submission,55148966,,"list episodes for submission 55148966 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:56:14.149725Z
submission,55153272,,"list episodes for submission 55153272 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:53:07.707649Z
submission,55153405,,"list episodes for submission 55153405 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:40:43.653148Z
submission,55155208,,"list episodes for submission 55155208 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:45:53.629915Z
submission,55156168,,"list episodes for submission 55156168 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:52:04.548242Z
submission,55157066,,"list episodes for submission 55157066 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:44:51.695193Z
submission,55157623,,"list episodes for submission 55157623 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T04:02:28.507477Z
submission,55159565,,"list episodes for submission 55159565 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T04:01:26.152947Z
submission,55160202,,"list episodes for submission 55160202 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:48:59.279925Z
submission,55160398,,"list episodes for submission 55160398 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:46:55.270293Z
submission,55163869,,"list episodes for submission 55163869 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:52:05.358097Z
submission,55164085,,"list episodes for submission 55164085 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T04:02:28.510064Z
submission,55164736,,"list episodes for submission 55164736 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:47:57.504689Z
submission,55164781,,"list episodes for submission 55164781 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:58:18.712430Z
submission,55167115,,"list episodes for submission 55167115 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:38:37.489216Z
submission,55167739,,"list episodes for submission 55167739 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:53:07.861521Z
submission,55168467,,"list episodes for submission 55168467 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:46:55.595400Z
submission,55168690,,"list episodes for submission 55168690 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:43:49.832679Z
submission,55168898,,"list episodes for submission 55168898 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:59:21.500146Z
submission,55168931,,"list episodes for submission 55168931 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:37:35.332970Z
submission,55170504,,"list episodes for submission 55170504 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:42:47.141742Z
submission,55171338,,"list episodes for submission 55171338 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T04:01:26.152947Z
submission,55171851,,"list episodes for submission 55171851 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:51:02.584028Z
submission,55171940,,"list episodes for submission 55171940 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:39:40.881404Z
submission,55172248,,"list episodes for submission 55172248 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:39:41.496750Z
submission,55172889,,"list episodes for submission 55172889 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T04:00:23.764036Z
submission,55173868,,"list episodes for submission 55173868 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:42:47.865707Z
submission,55174275,,"list episodes for submission 55174275 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:57:16.491482Z
