88879691 alakazam_second  punk=1 walked={'alakazam_second': 1}
89138640 other_second     punk=2 walked={'alakazam_second': 17, 'other_second': 132, 'alakazam_first': 12}
89140697 other_second     punk=2 walked={'alakazam_second': 17, 'other_second': 133, 'alakazam_first': 12}
89142661 other_second     punk=0 walked={'alakazam_second': 17, 'other_second': 134, 'alakazam_first': 12}
89147263 other_second     punk=2 walked={'alakazam_second': 17, 'other_second': 135, 'alakazam_first': 12}
89147650 other_second     punk=3 walked={'alakazam_second': 17, 'other_second': 136, 'alakazam_first': 12}
89152282 other_second     punk=2 walked={'alakazam_second': 17, 'other_second': 137, 'alakazam_first': 12}
89154989 other_second     punk=3 walked={'alakazam_second': 17, 'other_second': 138, 'alakazam_first': 12}
89163432 other_second     punk=2 walked={'alakazam_second': 17, 'other_second': 139, 'alakazam_first': 12}
89165474 other_second     punk=3 walked={'alakazam_second': 17, 'other_second': 140, 'alakazam_first': 12}
89171517 other_second     punk=1 walked={'alakazam_second': 17, 'other_second': 141, 'alakazam_first': 12}
89171983 other_second     punk=4 walked={'alakazam_second': 17, 'other_second': 142, 'alakazam_first': 12}
89184372 alakazam_second  punk=1 walked={'alakazam_second': 18, 'other_second': 142, 'alakazam_first': 12}
89186892 other_second     punk=2 walked={'alakazam_second': 18, 'other_second': 143, 'alakazam_first': 12}
89189455 alakazam_second  punk=2 walked={'alakazam_second': 19, 'other_second': 143, 'alakazam_first': 12}
89190902 other_second     punk=2 walked={'alakazam_second': 19, 'other_second': 144, 'alakazam_first': 12}
89192785 other_second     punk=2 walked={'alakazam_second': 19, 'other_second': 145, 'alakazam_first': 12}
89193841 other_second     punk=3 walked={'alakazam_second': 19, 'other_second': 146, 'alakazam_first': 12}
89195628 other_second     punk=2 walked={'alakazam_second': 19, 'other_second': 147, 'alakazam_first': 12}
89196115 alakazam_second  punk=1 walked={'alakazam_second': 20, 'other_second': 147, 'alakazam_first': 12}
89196984 other_second     punk=0 walked={'alakazam_second': 20, 'other_second': 148, 'alakazam_first': 12}
89197146 other_second     punk=2 walked={'alakazam_second': 20, 'other_second': 149, 'alakazam_first': 12}
89197202 alakazam_first   punk=3 walked={'alakazam_second': 20, 'other_second': 149, 'alakazam_first': 13}
89199280 other_second     punk=2 walked={'alakazam_second': 20, 'other_second': 150, 'alakazam_first': 13}
89199296 other_second     punk=3 walked={'alakazam_second': 20, 'other_second': 151, 'alakazam_first': 13}
89199779 other_second     punk=2 walked={'alakazam_second': 20, 'other_second': 152, 'alakazam_first': 13}
89200067 other_second     punk=2 walked={'alakazam_second': 20, 'other_second': 153, 'alakazam_first': 13}
89200797 other_second     punk=2 walked={'alakazam_second': 20, 'other_second': 154, 'alakazam_first': 13}
89201288 other_second     punk=3 walked={'alakazam_second': 20, 'other_second': 155, 'alakazam_first': 13}
89202173 alakazam_second  punk=3 walked={'alakazam_second': 21, 'other_second': 155, 'alakazam_first': 13}
89202177 other_second     punk=3 walked={'alakazam_second': 21, 'other_second': 156, 'alakazam_first': 13}
89202697 other_second     punk=1 walked={'alakazam_second': 21, 'other_second': 157, 'alakazam_first': 13}
89202818 other_second     punk=1 walked={'alakazam_second': 21, 'other_second': 158, 'alakazam_first': 13}
89203183 other_second     punk=2 walked={'alakazam_second': 21, 'other_second': 159, 'alakazam_first': 13}
89203839 other_second     punk=3 walked={'alakazam_second': 21, 'other_second': 160, 'alakazam_first': 13}
89204224 alakazam_first   punk=1 walked={'alakazam_second': 21, 'other_second': 160, 'alakazam_first': 14}
89204251 other_second     punk=2 walked={'alakazam_second': 21, 'other_second': 161, 'alakazam_first': 14}
89204357 alakazam_first   punk=1 walked={'alakazam_second': 21, 'other_second': 161, 'alakazam_first': 15}
89204358 other_second     punk=2 walked={'alakazam_second': 21, 'other_second': 162, 'alakazam_first': 15}
89204631 other_second     punk=2 walked={'alakazam_second': 21, 'other_second': 163, 'alakazam_first': 15}
89204673 other_second     punk=2 walked={'alakazam_second': 21, 'other_second': 164, 'alakazam_first': 15}
89205190 other_second     punk=2 walked={'alakazam_second': 21, 'other_second': 165, 'alakazam_first': 15}
89205206 other_second     punk=3 walked={'alakazam_second': 21, 'other_second': 166, 'alakazam_first': 15}
89205686 other_second     punk=1 walked={'alakazam_second': 21, 'other_second': 167, 'alakazam_first': 15}
89205700 other_second     punk=2 walked={'alakazam_second': 21, 'other_second': 168, 'alakazam_first': 15}
89205709 other_second     punk=1 walked={'alakazam_second': 21, 'other_second': 169, 'alakazam_first': 15}
89205711 other_second     punk=2 walked={'alakazam_second': 21, 'other_second': 170, 'alakazam_first': 15}
89205868 alakazam_first   punk=3 walked={'alakazam_second': 21, 'other_second': 170, 'alakazam_first': 16}
89206169 other_second     punk=0 walked={'alakazam_second': 21, 'other_second': 171, 'alakazam_first': 16}
89206177 other_second     punk=1 walked={'alakazam_second': 21, 'other_second': 172, 'alakazam_first': 16}
89206182 other_second     punk=2 walked={'alakazam_second': 21, 'other_second': 173, 'alakazam_first': 16}
89206208 other_second     punk=2 walked={'alakazam_second': 21, 'other_second': 174, 'alakazam_first': 16}
89206667 other_second     punk=2 walked={'alakazam_second': 21, 'other_second': 175, 'alakazam_first': 16}
89206676 other_second     punk=1 walked={'alakazam_second': 21, 'other_second': 176, 'alakazam_first': 16}
89206748 other_second     punk=3 walked={'alakazam_second': 21, 'other_second': 177, 'alakazam_first': 16}
89207167 other_second     punk=3 walked={'alakazam_second': 21, 'other_second': 178, 'alakazam_first': 16}
89207190 other_second     punk=3 walked={'alakazam_second': 21, 'other_second': 179, 'alakazam_first': 16}
89207193 other_second     punk=2 walked={'alakazam_second': 21, 'other_second': 180, 'alakazam_first': 16}
89207696 other_second     punk=3 walked={'alakazam_second': 21, 'other_second': 181, 'alakazam_first': 16}
89207703 other_second     punk=2 walked={'alakazam_second': 21, 'other_second': 182, 'alakazam_first': 16}
89207706 other_second     punk=2 walked={'alakazam_second': 21, 'other_second': 183, 'alakazam_first': 16}
89207759 other_second     punk=2 walked={'alakazam_second': 21, 'other_second': 184, 'alakazam_first': 16}
89208155 other_second     punk=2 walked={'alakazam_second': 21, 'other_second': 185, 'alakazam_first': 16}
89208184 other_second     punk=1 walked={'alakazam_second': 21, 'other_second': 186, 'alakazam_first': 16}
89208355 other_second     punk=2 walked={'alakazam_second': 21, 'other_second': 187, 'alakazam_first': 16}
89208686 other_second     punk=2 walked={'alakazam_second': 21, 'other_second': 188, 'alakazam_first': 16}
89208688 other_second     punk=2 walked={'alakazam_second': 21, 'other_second': 189, 'alakazam_first': 16}
89208700 alakazam_second  punk=2 walked={'alakazam_second': 22, 'other_second': 189, 'alakazam_first': 16}
89208836 alakazam_second  punk=2 walked={'alakazam_second': 23, 'other_second': 189, 'alakazam_first': 16}
89209162 other_second     punk=2 walked={'alakazam_second': 23, 'other_second': 190, 'alakazam_first': 16}
89209199 other_second     punk=3 walked={'alakazam_second': 23, 'other_second': 191, 'alakazam_first': 16}
89209233 other_second     punk=2 walked={'alakazam_second': 23, 'other_second': 192, 'alakazam_first': 16}
89209772 other_second     punk=3 walked={'alakazam_second': 23, 'other_second': 193, 'alakazam_first': 16}
89209811 other_second     punk=1 walked={'alakazam_second': 23, 'other_second': 194, 'alakazam_first': 16}
89210699 other_second     punk=2 walked={'alakazam_second': 23, 'other_second': 195, 'alakazam_first': 16}
89210729 other_second     punk=2 walked={'alakazam_second': 23, 'other_second': 196, 'alakazam_first': 16}
89211539 alakazam_second  punk=2 walked={'alakazam_second': 24, 'other_second': 196, 'alakazam_first': 16}
89211681 other_second     punk=1 walked={'alakazam_second': 24, 'other_second': 197, 'alakazam_first': 16}
89211699 other_second     punk=1 walked={'alakazam_second': 24, 'other_second': 198, 'alakazam_first': 16}
89211706 other_second     punk=1 walked={'alakazam_second': 24, 'other_second': 199, 'alakazam_first': 16}
89212172 other_second     punk=2 walked={'alakazam_second': 24, 'other_second': 200, 'alakazam_first': 16}
89212705 alakazam_first   punk=1 walked={'alakazam_second': 24, 'other_second': 200, 'alakazam_first': 17}
89213694 alakazam_second  punk=3 walked={'alakazam_second': 25, 'other_second': 200, 'alakazam_first': 17}
89215716 alakazam_first   punk=1 walked={'alakazam_second': 25, 'other_second': 200, 'alakazam_first': 18}
89217095 alakazam_first   punk=2 walked={'alakazam_second': 25, 'other_second': 200, 'alakazam_first': 19}
89219528 alakazam_first   punk=1 walked={'alakazam_second': 25, 'other_second': 200, 'alakazam_first': 20}
89222085 alakazam_second  punk=2 walked={'alakazam_second': 26, 'other_second': 200, 'alakazam_first': 20}
89222589 alakazam_second  punk=2 walked={'alakazam_second': 27, 'other_second': 200, 'alakazam_first': 20}
89223085 alakazam_first   punk=2 walked={'alakazam_second': 27, 'other_second': 200, 'alakazam_first': 21}
89223384 alakazam_second  punk=1 walked={'alakazam_second': 28, 'other_second': 200, 'alakazam_first': 21}
89224263 alakazam_second  punk=2 walked={'alakazam_second': 29, 'other_second': 200, 'alakazam_first': 21}
89225608 alakazam_first   punk=0 walked={'alakazam_second': 29, 'other_second': 200, 'alakazam_first': 22}
89228866 alakazam_first   punk=2 walked={'alakazam_second': 29, 'other_second': 200, 'alakazam_first': 23}
89228869 alakazam_first   punk=3 walked={'alakazam_second': 29, 'other_second': 200, 'alakazam_first': 24}
89230420 alakazam_second  punk=1 walked={'alakazam_second': 30, 'other_second': 200, 'alakazam_first': 24}
89230450 alakazam_second  punk=1 walked={'alakazam_second': 31, 'other_second': 200, 'alakazam_first': 24}
89232407 alakazam_second  punk=2 walked={'alakazam_second': 32, 'other_second': 200, 'alakazam_first': 24}
89232505 alakazam_first   punk=2 walked={'alakazam_second': 32, 'other_second': 200, 'alakazam_first': 25}
89232563 alakazam_first   punk=2 walked={'alakazam_second': 32, 'other_second': 200, 'alakazam_first': 26}
89232995 alakazam_first   punk=1 walked={'alakazam_second': 32, 'other_second': 200, 'alakazam_first': 27}
89234460 alakazam_first   punk=2 walked={'alakazam_second': 32, 'other_second': 200, 'alakazam_first': 28}
89234552 alakazam_second  punk=1 walked={'alakazam_second': 33, 'other_second': 200, 'alakazam_first': 28}
89236522 alakazam_second  punk=3 walked={'alakazam_second': 34, 'other_second': 200, 'alakazam_first': 28}
89237049 alakazam_first   punk=1 walked={'alakazam_second': 34, 'other_second': 200, 'alakazam_first': 29}
89237197 alakazam_second  punk=2 walked={'alakazam_second': 35, 'other_second': 200, 'alakazam_first': 29}
89238733 alakazam_first   punk=1 walked={'alakazam_second': 35, 'other_second': 200, 'alakazam_first': 30}
89239700 alakazam_second  punk=3 walked={'alakazam_second': 36, 'other_second': 200, 'alakazam_first': 30}
89240665 alakazam_first   punk=0 walked={'alakazam_second': 36, 'other_second': 200, 'alakazam_first': 31}
89243253 alakazam_second  punk=1 walked={'alakazam_second': 37, 'other_second': 200, 'alakazam_first': 31}
89244292 alakazam_second  punk=2 walked={'alakazam_second': 38, 'other_second': 200, 'alakazam_first': 31}
89245857 alakazam_first   punk=1 walked={'alakazam_second': 38, 'other_second': 200, 'alakazam_first': 32}
89246883 alakazam_second  punk=2 walked={'alakazam_second': 39, 'other_second': 200, 'alakazam_first': 32}
89261465 alakazam_second  punk=2 walked={'alakazam_second': 40, 'other_second': 200, 'alakazam_first': 32}
89264038 alakazam_second  punk=2 walked={'alakazam_second': 41, 'other_second': 200, 'alakazam_first': 32}
89264523 alakazam_first   punk=3 walked={'alakazam_second': 41, 'other_second': 200, 'alakazam_first': 33}
89265365 alakazam_first   punk=2 walked={'alakazam_second': 41, 'other_second': 200, 'alakazam_first': 34}
89269164 alakazam_first   punk=2 walked={'alakazam_second': 41, 'other_second': 200, 'alakazam_first': 35}
89272819 alakazam_first   punk=2 walked={'alakazam_second': 41, 'other_second': 200, 'alakazam_first': 36}
89278292 alakazam_first   punk=1 walked={'alakazam_second': 41, 'other_second': 200, 'alakazam_first': 37}
89279163 alakazam_second  punk=3 walked={'alakazam_second': 42, 'other_second': 200, 'alakazam_first': 37}
89280297 alakazam_first   punk=3 walked={'alakazam_second': 42, 'other_second': 200, 'alakazam_first': 38}
89281298 alakazam_second  punk=2 walked={'alakazam_second': 43, 'other_second': 200, 'alakazam_first': 38}
