download_status,deck_hash,team_id,submission_id,episode_id,seat_index,replay_path
success,9714ab5c3996f6cc,16381823,55350342,92124867,0,episodes\92124867\replay\episode_92124867.json
success,9714ab5c3996f6cc,16381823,55350342,92139362,1,episodes\92139362\replay\episode_92139362.json
success,9714ab5c3996f6cc,16381823,55350342,92175821,1,episodes\92175821\replay\episode_92175821.json
success,9714ab5c3996f6cc,16381823,55350342,92176731,0,episodes\92176731\replay\episode_92176731.json
success,9714ab5c3996f6cc,16381823,55350342,92179373,0,episodes\92179373\replay\episode_92179373.json
success,9714ab5c3996f6cc,16381823,55350342,92183386,1,episodes\92183386\replay\episode_92183386.json
success,9714ab5c3996f6cc,16381823,55350342,92187730,0,episodes\92187730\replay\episode_92187730.json
success,9714ab5c3996f6cc,16381823,55350342,92213242,1,episodes\92213242\replay\episode_92213242.json
success,9714ab5c3996f6cc,16381823,55350342,92215964,0,episodes\92215964\replay\episode_92215964.json
success,9714ab5c3996f6cc,16381823,55350342,92221841,1,episodes\92221841\replay\episode_92221841.json
success,9714ab5c3996f6cc,16381823,55350342,92230147,0,episodes\92230147\replay\episode_92230147.json
success,9714ab5c3996f6cc,16381823,55350342,92236644,0,episodes\92236644\replay\episode_92236644.json
success,9714ab5c3996f6cc,16381823,55350342,92237645,0,episodes\92237645\replay\episode_92237645.json
success,9714ab5c3996f6cc,16381823,55350342,92253523,1,episodes\92253523\replay\episode_92253523.json
success,9714ab5c3996f6cc,16381823,55350342,92276794,0,episodes\92276794\replay\episode_92276794.json
success,9714ab5c3996f6cc,16381823,55350342,92293469,0,episodes\92293469\replay\episode_92293469.json
success,9714ab5c3996f6cc,16381823,55350342,92295407,0,episodes\92295407\replay\episode_92295407.json
success,9714ab5c3996f6cc,16381823,55350342,92295570,1,episodes\92295570\replay\episode_92295570.json
success,9714ab5c3996f6cc,16381823,55350342,92299099,1,episodes\92299099\replay\episode_92299099.json
success,9714ab5c3996f6cc,16381823,55350342,92307596,1,episodes\92307596\replay\episode_92307596.json
success,9714ab5c3996f6cc,16381823,55350342,92315980,1,episodes\92315980\replay\episode_92315980.json
success,9714ab5c3996f6cc,16381823,55350342,92319816,1,episodes\92319816\replay\episode_92319816.json
success,9714ab5c3996f6cc,16381823,55350342,92343875,1,episodes\92343875\replay\episode_92343875.json
success,9714ab5c3996f6cc,16381823,55350342,92370243,0,episodes\92370243\replay\episode_92370243.json
success,9714ab5c3996f6cc,16381823,55350342,92375926,0,episodes\92375926\replay\episode_92375926.json
success,9714ab5c3996f6cc,16381823,55350342,92405555,1,episodes\92405555\replay\episode_92405555.json
success,9714ab5c3996f6cc,16381823,55350342,92424336,0,episodes\92424336\replay\episode_92424336.json
success,9714ab5c3996f6cc,16381823,55350342,92428754,0,episodes\92428754\replay\episode_92428754.json
success,9714ab5c3996f6cc,16381823,55350342,92433554,1,episodes\92433554\replay\episode_92433554.json
success,9714ab5c3996f6cc,16381823,55350342,92434464,1,episodes\92434464\replay\episode_92434464.json
success,9714ab5c3996f6cc,16381823,55350342,92455783,1,episodes\92455783\replay\episode_92455783.json
success,9714ab5c3996f6cc,16381823,55350342,92471466,0,episodes\92471466\replay\episode_92471466.json
success,9714ab5c3996f6cc,16381823,55350342,92476162,1,episodes\92476162\replay\episode_92476162.json
success,9714ab5c3996f6cc,16381823,55350342,92478992,0,episodes\92478992\replay\episode_92478992.json
success,9714ab5c3996f6cc,16381823,55350342,92490134,1,episodes\92490134\replay\episode_92490134.json
success,9714ab5c3996f6cc,16381823,55350342,92492031,0,episodes\92492031\replay\episode_92492031.json
success,9714ab5c3996f6cc,16381823,55350342,92495662,1,episodes\92495662\replay\episode_92495662.json
success,9714ab5c3996f6cc,16381823,55350342,92506862,1,episodes\92506862\replay\episode_92506862.json
success,9714ab5c3996f6cc,16381823,55350342,92518073,1,episodes\92518073\replay\episode_92518073.json
success,9714ab5c3996f6cc,16381823,55350342,92522681,1,episodes\92522681\replay\episode_92522681.json
success,9714ab5c3996f6cc,16381823,55350342,92524551,0,episodes\92524551\replay\episode_92524551.json
success,9714ab5c3996f6cc,16381823,55350342,92533932,0,episodes\92533932\replay\episode_92533932.json
success,9714ab5c3996f6cc,16381823,55350342,92534624,0,episodes\92534624\replay\episode_92534624.json
success,9714ab5c3996f6cc,16381823,55350342,92544953,0,episodes\92544953\replay\episode_92544953.json
success,9714ab5c3996f6cc,16381823,55350342,92580497,0,episodes\92580497\replay\episode_92580497.json
success,9714ab5c3996f6cc,16381823,55350342,92605647,0,episodes\92605647\replay\episode_92605647.json
success,9714ab5c3996f6cc,16381823,55350342,92632448,1,episodes\92632448\replay\episode_92632448.json
success,9714ab5c3996f6cc,16381823,55350342,92635382,0,episodes\92635382\replay\episode_92635382.json
success,9714ab5c3996f6cc,16381823,55350342,92645611,0,episodes\92645611\replay\episode_92645611.json
success,9714ab5c3996f6cc,16381823,55350342,92662488,0,episodes\92662488\replay\episode_92662488.json
success,9714ab5c3996f6cc,16381823,55350342,92666984,1,episodes\92666984\replay\episode_92666984.json
success,9714ab5c3996f6cc,16381823,55350342,92683020,1,episodes\92683020\replay\episode_92683020.json
success,9714ab5c3996f6cc,16381823,55350342,92694267,0,episodes\92694267\replay\episode_92694267.json
success,9714ab5c3996f6cc,16381823,55350342,92718421,1,episodes\92718421\replay\episode_92718421.json
success,9714ab5c3996f6cc,16381823,55350342,92732157,1,episodes\92732157\replay\episode_92732157.json
success,9714ab5c3996f6cc,16381823,55350342,92739644,0,episodes\92739644\replay\episode_92739644.json
success,9714ab5c3996f6cc,16381823,55350342,92765562,1,episodes\92765562\replay\episode_92765562.json
success,9714ab5c3996f6cc,16381823,55350342,92765684,1,episodes\92765684\replay\episode_92765684.json
success,9714ab5c3996f6cc,16381823,55350342,92771888,1,episodes\92771888\replay\episode_92771888.json
success,9714ab5c3996f6cc,16381823,55350342,92793419,1,episodes\92793419\replay\episode_92793419.json
success,9714ab5c3996f6cc,16381823,55350342,92797977,0,episodes\92797977\replay\episode_92797977.json
success,9714ab5c3996f6cc,16381823,55350342,92808324,0,episodes\92808324\replay\episode_92808324.json
success,9714ab5c3996f6cc,16381823,55350342,92808335,1,episodes\92808335\replay\episode_92808335.json
success,9714ab5c3996f6cc,16381823,55350342,92810210,0,episodes\92810210\replay\episode_92810210.json
success,9714ab5c3996f6cc,16381823,55350342,92814948,1,episodes\92814948\replay\episode_92814948.json
success,9714ab5c3996f6cc,16381823,55350342,92818512,1,episodes\92818512\replay\episode_92818512.json
success,9714ab5c3996f6cc,16381823,55350342,92821467,0,episodes\92821467\replay\episode_92821467.json
success,9714ab5c3996f6cc,16381823,55350342,92826004,1,episodes\92826004\replay\episode_92826004.json
success,9714ab5c3996f6cc,16381823,55350342,92827712,0,episodes\92827712\replay\episode_92827712.json
success,9714ab5c3996f6cc,16381823,55350342,92830563,1,episodes\92830563\replay\episode_92830563.json
success,9714ab5c3996f6cc,16381823,55350342,92833253,1,episodes\92833253\replay\episode_92833253.json
success,9714ab5c3996f6cc,16381823,55350342,92847230,0,episodes\92847230\replay\episode_92847230.json
success,9714ab5c3996f6cc,16381823,55350342,92883631,0,episodes\92883631\replay\episode_92883631.json
success,9714ab5c3996f6cc,16381823,55350342,92919032,1,episodes\92919032\replay\episode_92919032.json
success,9714ab5c3996f6cc,16381823,55350342,92930071,0,episodes\92930071\replay\episode_92930071.json
success,9714ab5c3996f6cc,16381823,55350342,92940283,1,episodes\92940283\replay\episode_92940283.json
success,9714ab5c3996f6cc,16381823,55350342,92946825,0,episodes\92946825\replay\episode_92946825.json
success,9714ab5c3996f6cc,16381823,55350342,92961835,0,episodes\92961835\replay\episode_92961835.json
success,9714ab5c3996f6cc,16381823,55350342,92963355,0,episodes\92963355\replay\episode_92963355.json
success,9714ab5c3996f6cc,16381823,55350342,92970006,0,episodes\92970006\replay\episode_92970006.json
success,9714ab5c3996f6cc,16381823,55350342,92978320,0,episodes\92978320\replay\episode_92978320.json
success,9714ab5c3996f6cc,16381823,55350342,92985728,0,episodes\92985728\replay\episode_92985728.json
success,9714ab5c3996f6cc,16381823,55350342,92994137,1,episodes\92994137\replay\episode_92994137.json
