cluster_id,representative_deck_hash,major_cards,core_line_candidates,team_count,submission_count,replay_count,decision_count_estimate,wins,losses,rank_min,rank_max,rank_distribution,deck_variant_count,mean_replacement_distance,ml_recommendation,teams
cluster_010,8d3a8feb6bf84019,1 89 90 92 93 1086 1094 1152 1227 1245 1097 1174 1175 1182,89 90 92 93 1086 1094 1097 1152 1174 1175 1182 1191,1,1,11,495,3,8,1,1,1,1,0.0,single-teacher warning,Jack
cluster_011,eb0bf8f590a6536b,5 2 119 120 1079 1086 1121 1152 1227 121 131 1198 132 133,119 120 121 131 132 133 1079 1086 1097 1121 1123 1152,1,1,1,45,0,1,1,1,1,1,0.0,single-teacher warning,humita
cluster_012,7fad986267efc755,16 112 344 345 1086 1147 1152 1198 1210 1227 1236 1 7 18,112 117 344 345 414 1086 1147 1152 1198 1210 1227 1236,7,45,178,8415,75,112,1,50,1 3 4 5 6 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 35 36 37 39 40 41 42 43 44 45 46 48 50,1,0.0,high,Biubiu | LiamK | Marshall Maximizer | S4nkurero | THIRD PTCG Club | ktr | ゆとり
cluster_013,62ac550e5453e40c,119 120 1086 1121 1152 1227 2 5 121 1079 1182 7 131 1097,119 120 121 131 1079 1086 1097 1121 1152 1182 1198 1227,11,21,117,5580,64,59,1,50,1 11 13 14 15 16 17 18 19 21 22 25 30 33 35 38 39 40 42 44 50,11,7.71,high,EfReI | Jarl_Bulbasaur | LumenLiquidity | Mizunooo | NayuNayu | StrixM | TOMONORI TAKEUCHI | Taishoh | ei8171 | kaito ide 31 | nanannan
cluster_014,d79e21d5794ea1b3,6 20 341 379 380 1086 1142 1152 1227 342 381 1173 1225 387,341 342 379 380 381 387 1086 1142 1152 1173 1182 1197,29,49,573,27855,331,288,1,49,1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49,17,4.192,high,Bata09 | Daewoo Myoung | Gengar | HIDEYO CHIBA | ISSEI | KL | Kotaro OKUYAMA | MAMOOS | NuuNohjo | Olegolas1 | Oshbocker | SantaClaws | Topdecking is All You Need | aoi_sugawara | f | hamuhei | hodumi | junlee789 | kuromoka | nasuo445 | neuro168 | taku_Kuma | yamatchan | yasu | ひろたこう | ゆとり | 電気通信ポケモン大学 | 박강찬 | 🐱KittenLeague🐱
cluster_015,1f60617de32869f5,3 17 1030 1086 1121 1152 1225 1227 1229 1031 1122 1192 1213 131,131 132 133 1030 1031 1086 1121 1122 1152 1192 1213 1225,4,38,196,8820,99,94,1,49,1 2 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 36 37 39 41 45 48 49,3,0.046,medium,Flying Banana | Marcha Watanabe | WinDecks | Yash Vardhan
cluster_016,ee1681b277e66413,8 169 190 1097 1121 1152 1192 1213 1227 1122 1182 1244 57 1123,57 169 190 1097 1121 1122 1123 1152 1182 1192 1213 1227,102,44,165,7425,53,112,1,50,1 2 4 6 7 8 9 11 12 14 15 16 19 20 21 22 23 24 25 26 27 28 29 30 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50,18,11.885,high,5.5 | ACoder | Ajay_Rao_43 | Anhad Mahajan | Arun | Ash Kecap | Ausrine | Ayodeji | Blacklions. | Blu3s | Cam-Luan Truong | Canon | Changdao Chen | Charismatic Pizza Party🍕 | Clark Kitchen | DHKim0324 | DataLover | DiuDiu | Editor Jugnu AI | Evan #2 | Fumi | Gotta catch 'em all | H. Ashida | Haramball forever! | Jayden Jeswin Raj | Jiachen Li | Jules | Kazeneko | Light Musing | M2AI | MS-05 ざこ | MaybeIcanShow | Mega Layer eX | Muhandro | Nithin maktha | Octavi Grau | Omkar X Kushagra X Ayan | Orion | OzanM. | Pikachu Power | Pirate-Emperor | Plamen | Ray | SJY321 | Samrish B | Samuil Petkov | Shoto | Shubham Sahu2003 | ShumingFang | ShumpeiNomura | Sophinator | Spartan1925 | StephenNedumpally | TCGFlow | Tagir Analyzes | Tian hao Qing Nano7ko | Toru59er | Yaoying Cai | Zarkys | adakoda | anngle | bill simon | bonsai | colt | daiki_H | datnt114 | dreamtear | endederwelt0419 | f.a.nina | fishing_kiyogon | hotpotbro | inoue0x54 | islet | joicygiore | kglctf | klog | kokomi | kunihiro | mogura2.0 | nishiki | ojicat | panda__MB__maximus | pepe | researcher_4242 | snowsapphire | tamakiken_OB | tetsu2131 | tks | today | uesi | unknown | victorvv | wingsyuyi-satori | wsdsby | xinpw8 | xsong2020 | yuki16 | zhuo wamg | Ömer Faruk Yüce | АНАНАС | Лукин Алексей | 车嘉宁（Mr-Car）
cluster_017,7e7bca6783abe61e,3 722 723 1145 1227 1235 721 1205 1158,721 722 723 1145 1205 1227 1235,27,20,28,1260,0,28,1,48,1 2 13 15 16 17 20 22 27 29 31 33 37 38 40 42 43 44 45 48,3,0.321,medium,Aakansha.aakaa | Ayush Thakur | Balasubramanian Venkataraman | Brian Chuan | DarkLayer | Emre Bektas | Farley Law | GauravKr23 | Hiryu | Jack12xl | Keiya Yamashita | Luca Lullo | Miker | Mostafa Sherif | Nineso | Rataro.S | Teteapod | aile-dev283 | akachocobo | funahara | hayato240 | hinox13 | kanamen | monyai | nanocloudx | taku tou | はっししゅう
cluster_018,2609551e9fdde066,6 1121 1141 1142 1152 1227 676 677 678 1174 673 674 675 1182,673 674 675 676 677 678 1121 1141 1142 1152 1174 1182,4,7,7,315,3,4,1,37,1 8 14 20 28 34 37,4,8.0,medium,Dons | Sota Nakamura | nonpapa | pino 70122
cluster_019,8699caf3aa4618d1,1 11 14 18 344 345 1086 1147 1212 1224 1264 1159,344 345 1086 1147 1212 1224 1264,9,9,9,405,2,7,1,47,1 5 17 25 35 40 41 45 47,4,2.333,medium,Kokoro0711 | Mountain peak | Wawa_shizuka | YAKIIMO3 | Yuminosuke Sato | katsuya-pokeca | kinakomochi | pokemob | yuichiro miyamae
cluster_020,0bef8b29715ae7d8,8 169 190 666 1121 1122 1147 1152 1182 1185 1227 1244 1097 57,169 190 666 1097 1121 1122 1147 1152 1182 1185 1227 1244,75,46,272,12825,129,156,1,50,1 2 4 6 7 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50,38,4.225,high,AdrianWang2003 | Alexandru Tanasel | Ardell Aghna Mahendra | Arthurs Torres24 | Bocchieri Alberto | Calcite Valentin | CardPilotLab | Chellick | D.Minami802 | Dasinu | Dmitry Volovikov | DuongTien | EarthLifter | Edith Yong | Ethereal49 | Fakble 6 | Hanliu0408 | Hikaru Umeda | HiroyukiSasaki | Jett Huang | Justin Kimlim | Kasasree Google | Koba Empire | Koki _1231 | KouFu | Kuriboh | L-WALID | Liviu Alexandru Bobocu | Léo DEVIN | MASAYU KOBAYASHI | MERO TOKI | Masatoshi Hidaka | Moegi | NukoNiko15 | PALTCG | RicardoLópez | Robina | S4nkurero | Seikan Suzuki | Shishio Makoto | Shoya Taguchi | So Momma | TCGFlow | TMMT | Takaaki Matsuda | Xander | YIN | YangAoTian | YehJames | Yiding Cui | Yufeng | Yxy2001 | astriarty | cimyzzz | david valor | ezreal77 | github/shepsci/kaggle-skill | honjousetuna | kaito yama | kose maeno | magu1234 | mimi | mmwstudy | niyo | sasanatu72 | shige | showtree | snowsapphire | tadhase | taopy2 | wangyuou | williamm | yyy yyy | zamami | らすはる
cluster_021,292e7cda8346e2af,11 19 65 878 1086 1122 1152 1171 1227 1255 66 1097 1115 304,65 66 304 878 879 1086 1097 1115 1122 1152 1171 1182,14,12,14,630,2,11,1,47,1 4 8 19 25 30 34 35 38 39 43 47,6,1.643,medium,Alessandro Campolo | CYLik | HayatoFujihara | Ken Page | RMensinck | Ryosei Kojima | Shirag Maharaj | TAKESHI7676 | Wataya Iga | fttp | ichitaro3 | leocrivels | sou yamaguchi | viss
cluster_022,4517aa8e99e25a30,7 112 646 1086 1152 1227 1231 1259 305 647 648 1079 66 1097,66 112 305 646 647 648 1079 1086 1097 1152 1197 1227,19,37,167,7785,99,74,1,50,1 4 7 8 10 11 12 14 17 18 19 20 22 23 26 27 29 30 31 32 33 34 35 36 38 39 40 41 42 43 44 45 46 47 48 49 50,12,9.607,high,Amon Shibata | Boss's Orders Are All You Need | Ebi | GoodSmell | Just a gorilla | Mateusz Pawełczuk | Matt | Minh Ly | Murat Kolic | Mykhailo Kalus | Pokemon Siuuuu | Pokésonic | aaa | hoshippi | kazuki0123 | sangmin7b | team TDL | yuya | ごんさくよねきち
cluster_023,4fb3b8ac701ec3a1,19 66 305 741 742 743 1086 1152 1225 1231 1079 1182 5 1081,66 305 741 742 743 1079 1081 1086 1152 1182 1225 1231,1,8,8,360,2,6,1,41,1 12 18 23 29 35 40 41,1,0.0,single-teacher warning,Aki Ogawa
cluster_024,a6535bbccddb9182,6 677 678 1102 1141 1142 1152 1227 20 675 676 1123 1192 1182,675 676 677 678 1102 1123 1141 1142 1152 1182 1192 1197,18,43,134,6030,65,69,1,50,1 2 5 6 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23 24 25 27 28 29 30 31 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50,3,1.828,high, me-keh-dev | Akira-Ninth | Asa-sotta  | Chong Pfeffer | ImANoob1122 | Pokemon001 | Rockway Chen | Takuya Ando | Zhenyu Zhang | f | fujiborozoukin | mitomeat823 | ren110 | skurita | tomo11111 | ばう | 于笑非lilishyxf | 渡邊征央
cluster_025,6e8a3232cc3f5e35,19 305 741 742 743 1079 1086 1152 1225 1231 66 1081 1264 5,66 305 741 742 743 1079 1081 1086 1129 1152 1182 1225,14,35,145,7245,79,82,1,50,1 3 4 6 8 9 10 11 12 13 14 16 18 20 23 24 25 26 27 28 30 33 35 36 37 38 39 40 42 43 46 47 48 49 50,13,1.323,high,Ajishio | InkCartridge | Kohenyan | Phil_Hellmuth | Prify Philip | TeamSCSQ(チームスクスク) | Yuiki | kawachi | kotsuton | maxwell_ml | rick & shikitora | uninc2000 | 【ＡＩと共に、ＡＩと戦う】tubotu | 昊天宗乱披风九九归一
cluster_026,3d4bf76817e2892c,5 19 164 1086 1097 1152 1197 1225 1227 817 1081 1120 1139 818,164 817 818 1081 1086 1087 1097 1120 1139 1152 1184 1197,7,13,27,1215,10,17,1,50,1 4 5 12 21 24 27 28 40 41 47 49 50,5,2.259,medium,AyFukushima | Boss's Orders Are All You Need | Gappy | Kohei | hikarimaru | tsuzuk1 | 怒破餓鬼
cluster_027,3a4c25c73ed2d081,7 646 648 1079 1086 1152 1227 66 112 305 1231 1259 647 1182,66 112 305 646 647 648 1079 1086 1152 1182 1227 1231,18,43,120,5400,56,63,1,50,1 2 4 5 6 7 8 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 39 40 41 43 44 45 46 47 48 49 50,5,0.225,high,Antonino Zumbo | Benarg | DaJimmy | Dieter | Gotem Penguin | HCRL | Kurokawa | Sean Jones | Shunji Minode | The Debauchery Tea Party | Yigit Kayali | Yudai Ueno | Yushin Ito | datawizardd | easonyanyan | ei1333 | takaygiiiiiiii | ysakuragi
cluster_028,282d43a71a17356b,1 11 14 18 344 345 1086 1120 1147 1152 1212 1227 1235 1159,344 345 1086 1120 1147 1152 1212 1227 1235,4,5,5,225,1,4,1,41,1 2 29 38 41,4,5.4,medium,Dapp | dafujii | strayuru | まーやん
cluster_029,5ab798236b11cd91,11 14 18 756 1086 1147 1182 1219 1227 344 345 1122 1225 1123,344 345 756 1086 1122 1123 1147 1182 1186 1219 1225 1227,20,46,342,15750,178,171,1,48,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 46 47 48,9,1.546,high,Alberto Bonsanto | Dũng Đỗ | Ebi | Eduardo Rocha de Andrade | Parth Raj Purohit | Raihan Ramadistra | Tanupro | YY0422 | bono | e-toppo + kurupical | gecogeco | giacomovin | jesus riva | kurupical | lolzpo emonga | motono0223 | nishikun | pztriatomic | tellusium | totoko
cluster_030,9ad3143fbfcfc93e,2 5 119 120 1086 1121 1152 1227 121 1120 1182 1198 7 112,112 119 120 121 235 1086 1097 1120 1121 1152 1182 1198,10,43,207,9405,114,92,1,50,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 28 29 31 35 36 37 39 40 42 43 44 45 46 47 48 49 50,13,5.856,high,Atamol | Raihan Ramadistra | Rojiomote | ZETADIVISION | hpp sak | mealck | pokeca2018 | yaki-imo | youtube.com/@BigBugginnings | やる気元気ミワハルキ
cluster_031,53ada9d42d3e30a9,3 722 723 1219 1227 721 1121 1145 1163 1262 1092,721 722 723 1121 1145 1163 1219 1227 1262,4,4,4,180,0,4,1,26,1 4 6 26,1,0.0,medium,Daisuke | Jaisal K Jain | kawasaki12 | 中村文彌
cluster_032,6523c10c5f633ab9,11 20 58 344 345 1086 1122 1123 1142 1152 1182 1185 1197 1129,58 344 345 1086 1122 1123 1129 1142 1152 1182 1185 1194,43,40,87,3915,23,64,1,50,1 2 3 6 7 8 9 10 12 14 15 16 18 19 20 22 23 24 26 27 28 29 30 31 33 34 36 37 38 39 40 41 42 43 44 45 46 47 49 50,5,1.667,medium,Andrew Harlen | AyushmanKumar819 | CurveCowboy | Danielvo59 | Dr_F | EKMorris | ETphonehome3876 | Evan #2 | FOYSAL | Fans for pluto | Hamid Hosen | Ikeda0516 | Kaka ❤ Cristiano ❤ Piplup | Kasasree Google | MR.h | NaNomin | Oddball45000 | Olegolas1 | Pokemon Catchers | Rafael G | Rahul Jiwane | Raster0x2a | Reki | So Momma | Soulemane ISSIFOU | Tahsin Arafat | Takuma_Tsuji | Team BlackBox | Timothy Bender (TBenderMMA) | Toru59er | Tsubasa | Vishesh Banna | akmr | g-taniguchi | jaehwan02 | kkkk | kozzy | law625 | llAnjull | lollipop947 | smokyjp | xsong2020 | yq line
cluster_033,8d11de3271d20cdc,11 19 304 878 879 1086 1115 1123 1152 1171 1194 1225 1227 1255,304 878 879 1086 1115 1123 1152 1171 1193 1194 1225 1227,1,1,1,45,1,0,1,1,1,1,0.0,single-teacher warning,satofi
cluster_034,0152632da09b7c7d,3 506 1120 1122 1152 1166 1219 1227 1081 7 66 112 305 1119,66 112 305 506 1081 1119 1120 1122 1152 1166 1182 1184,3,25,131,5940,75,57,1,48,1 3 4 8 9 11 13 14 15 17 18 21 22 24 25 26 28 31 33 34 39 42 45 47 48,3,0.235,medium,e-toppo | e-toppo + kurupical | kurupical
cluster_035,8055443275c86105,2 5 119 120 1086 1120 1121 1198 1227 121 1152 1182 235 1079,119 120 121 235 1079 1086 1097 1120 1121 1152 1182 1198,51,33,66,2970,12,54,2,50,2 3 5 8 10 11 12 13 14 15 18 20 21 23 26 27 28 29 31 32 34 35 36 38 39 40 41 43 46 47 48 49 50,14,0.848,medium,"AKIYA NAKASATO | André Fernandes | Bowowen | CaRuff | ETphonehome3876 | Eriya | GGMaster | Galactic Adminz | HOMEWORK_L | Huangxiayiluo | Imamu | Jhu, Jhe-Yi | Mamo | Masahiro Nagasawa | Ohashi | PokeBotty | RMatsugen | Ruko | Ryoga Naito | Ryos8515 | S. B. | Shuzo | SkySell | TBBJason | TTKeHH | WEcoS | Xenon Soh | Yasuo 0/10/0 | carpe diemviva | guohaowen | haonan zhengh | harappa | jarrett blumenschein | kabu strongest legend | kosumo77 | monst_dama | mw | nashu | near field | nkenji | pham | reo ifigg | srm463 | suzutanuki | tahi | taiyoooo | taka548 | takumina | yukiyuti | あぴょぴょ | キキ327(トウカ)"
cluster_036,53df2491d07e503f,6 16 676 1142 1152 1227 116 1097 1182 1238 675 1051 1052 1174,116 675 676 1051 1052 1097 1142 1152 1174 1182 1194 1213,2,6,6,270,1,5,2,47,2 12 38 42 45 47,2,1.333,low,RK | noikaret
cluster_037,d7d6d7bf47a18e4a,15 17 463 891 1134 1152 1216 1218 1219 1220 1077 1217 1257 473,463 473 474 891 1077 1097 1122 1134 1152 1216 1217 1218,4,18,21,945,7,14,2,50,2 9 10 11 12 13 17 20 23 25 30 31 32 35 40 42 46 50,4,1.476,medium,Battle Data Base | Nekogami | Terutora Tachibana | keidroid
