dataset,episode_id,win,first,opp_sid,opp_name,archetype,own_turns,attack_turns,attack_rate,attacks,first_attack_turn,missed_attack_opportunities,spidops_evolutions,spidops_accelerations,retreats,loss_cause,final_my_prizes,final_opp_prizes,final_deck,final_board,mewtwo_bonus0,mewtwo_bonus1,mewtwo_bonus2
leader,85578943,True,True,54593207,ei ei ei yikuso,Fezandipiti ex + Alakazam,19,6,0.3157894736842105,6,5.0,0,3,3,12,win,1,3,4,6,1,0,0
leader,85580034,False,False,54554421,Budew,Mega Kangaskhan ex + Crustle,9,2,0.2222222222222222,5,7.0,3,4,5,4,deckout,3,3,0,4,1,0,0
leader,85580038,True,False,54469529,213tubo,Fezandipiti ex + Alakazam,24,8,0.3333333333333333,10,2.0,3,4,3,5,win,2,3,10,6,0,0,0
leader,85580045,False,False,54360530,Yushin Ito,Marnie's Grimmsnarl ex + Fezandipiti ex,3,0,0.0,0,,0,1,0,2,other,6,1,28,5,0,0,0
leader,85581011,True,False,54589656,bono,Fezandipiti ex + Alakazam,13,4,0.3076923076923077,4,2.0,1,3,3,7,win,2,3,22,5,0,0,0
leader,85581465,True,False,54486275,Yushin Ito,Fezandipiti ex + Alakazam,22,4,0.18181818181818182,5,18.0,1,4,3,8,win,4,3,10,6,0,0,0
leader,85581946,True,True,54529059,Majkel1337,Fezandipiti ex + Alakazam,27,5,0.18518518518518517,5,4.0,0,4,5,8,win,2,2,0,6,3,0,0
leader,85581950,False,True,54360530,Yushin Ito,Marnie's Grimmsnarl ex + Fezandipiti ex,7,4,0.5714285714285714,4,2.0,0,4,3,7,other,1,1,3,5,0,0,0
leader,85582425,True,False,54529059,Majkel1337,Fezandipiti ex + Alakazam,31,6,0.1935483870967742,6,3.0,0,4,4,9,win,1,1,0,5,2,0,0
leader,85582429,True,True,54589656,bono,Fezandipiti ex + Alakazam,14,5,0.35714285714285715,5,5.0,1,3,4,8,win,2,3,14,5,0,0,0
leader,85582900,False,True,54558585,Ebi,Mega Kangaskhan ex + Crustle,15,3,0.2,4,8.0,4,2,2,9,other,2,1,2,6,2,0,0
leader,85582901,False,True,54486275,Yushin Ito,Fezandipiti ex + Alakazam,16,1,0.0625,1,3.0,1,1,0,5,other,5,1,20,5,0,0,0
leader,85583857,True,False,54608732,kkkk,Crustle + Dwebble,11,6,0.5454545454545454,6,6.0,1,2,2,4,win,1,6,11,6,0,0,0
leader,85584368,True,True,54486275,Yushin Ito,Fezandipiti ex + Alakazam,16,7,0.4375,7,2.0,1,4,5,8,win,1,2,17,5,1,0,0
leader,85585282,False,True,54554421,Budew,Mega Kangaskhan ex + Crustle,11,2,0.18181818181818182,4,7.0,3,4,5,6,other,2,1,1,6,0,0,0
leader,85590723,True,False,54611082,Yuu K,Fezandipiti ex + Alakazam,11,7,0.6363636363636364,7,2.0,1,4,3,7,win,2,2,12,4,0,0,0
leader,85598147,True,False,54360530,Yushin Ito,Marnie's Grimmsnarl ex + Fezandipiti ex,7,5,0.7142857142857143,5,2.0,1,3,3,4,win,1,2,16,6,0,1,0
leader,85602398,False,True,54604229,junlee789,Cynthia's Garchomp ex + Cynthia's Gabite,7,1,0.14285714285714285,4,7.0,3,3,2,3,other,6,2,8,5,1,0,0
leader,85603410,True,False,54554421,Budew,Mega Kangaskhan ex + Crustle,8,5,0.625,6,3.0,0,3,3,4,win,1,4,4,6,1,0,0
leader,85604321,True,True,54554421,Budew,Mega Kangaskhan ex + Crustle,11,5,0.45454545454545453,9,3.0,5,4,3,7,win,3,2,2,5,0,0,0
leader,85604825,False,True,54486275,Yushin Ito,Fezandipiti ex + Alakazam,21,4,0.19047619047619047,6,2.0,4,3,3,7,other,4,1,11,3,0,0,0
leader,85605323,True,True,54486275,Yushin Ito,Fezandipiti ex + Alakazam,14,9,0.6428571428571429,12,2.0,3,3,2,6,win,2,4,20,6,0,0,0
leader,85606177,True,True,54589656,bono,Fezandipiti ex + Alakazam,11,3,0.2727272727272727,3,9.0,0,2,0,4,win,4,6,33,6,0,0,0
leader,85607090,True,True,54589656,bono,Fezandipiti ex + Alakazam,22,5,0.22727272727272727,5,11.0,0,4,7,7,win,1,4,7,6,1,1,0
leader,85607111,True,True,54486275,Yushin Ito,Fezandipiti ex + Alakazam,23,9,0.391304347826087,10,2.0,5,4,6,10,win,1,2,11,5,0,0,0
leader,85607538,False,False,54554421,Budew,Mega Kangaskhan ex + Crustle,6,2,0.3333333333333333,5,2.0,4,4,5,6,other,2,2,8,6,0,0,0
leader,85608008,True,False,54554421,Budew,Mega Kangaskhan ex + Crustle,7,4,0.5714285714285714,6,3.0,2,4,3,3,win,2,4,8,6,0,0,0
leader,85608474,True,True,54533713,Budew,Mega Kangaskhan ex + Crustle,7,4,0.5714285714285714,6,3.0,2,4,5,4,win,1,4,6,6,0,0,0
leader,85609397,True,True,54554421,Budew,Mega Kangaskhan ex + Crustle,10,5,0.5,7,4.0,2,4,5,8,win,1,1,3,5,3,0,0
leader,85609443,True,False,54529059,Majkel1337,Fezandipiti ex + Alakazam,18,6,0.3333333333333333,7,3.0,4,4,3,9,win,3,2,10,5,0,0,0
leader,85609934,True,True,54486275,Yushin Ito,Fezandipiti ex + Alakazam,17,6,0.35294117647058826,6,2.0,1,3,3,6,win,1,2,19,6,0,0,0
leader,85609942,False,False,54554421,Budew,Mega Kangaskhan ex + Crustle,9,3,0.3333333333333333,5,4.0,2,3,3,4,other,4,2,9,6,0,0,0
leader,85610884,True,False,54554421,Budew,Mega Kangaskhan ex + Crustle,9,7,0.7777777777777778,9,2.0,2,4,4,2,win,1,2,3,4,2,0,0
leader,85610902,True,True,54599692,rick & shikitora,Alakazam + Kadabra,17,9,0.5294117647058824,10,2.0,1,4,5,6,win,1,1,10,6,1,0,0
leader,85611332,False,False,54460251,satofi,Hop's Trevenant + Hop's Phantump,6,2,0.3333333333333333,3,2.0,1,3,3,2,other,4,1,22,2,0,0,0
leader,85611343,False,True,54554421,Budew,Mega Kangaskhan ex + Crustle,11,2,0.18181818181818182,6,6.0,4,4,4,8,other,2,1,1,5,0,0,0
leader,85611838,False,False,54360530,Yushin Ito,Marnie's Grimmsnarl ex + Fezandipiti ex,6,2,0.3333333333333333,2,2.0,1,2,2,4,other,5,1,30,6,0,0,0
leader,85611845,True,False,54486275,Yushin Ito,Fezandipiti ex + Alakazam,13,8,0.6153846153846154,11,4.0,4,2,3,6,win,3,5,16,6,0,0,0
leader,85612295,False,True,54554421,Budew,Mega Kangaskhan ex + Crustle,10,5,0.5,7,2.0,3,2,2,6,other,4,1,1,4,3,0,0
leader,85612777,True,True,54577484,e-toppo,Cubchoo + Dunsparce,13,6,0.46153846153846156,6,8.0,0,3,10,6,win,1,6,6,6,0,0,0
leader,85613235,True,True,54554421,Budew,Mega Kangaskhan ex + Crustle,9,5,0.5555555555555556,7,3.0,2,4,6,9,win,1,4,1,6,1,0,0
leader,85613700,True,True,54599692,rick & shikitora,Alakazam + Kadabra,18,5,0.2777777777777778,5,8.0,0,4,4,8,win,1,2,11,6,1,0,0
leader,85614171,True,False,54486275,Yushin Ito,Fezandipiti ex + Alakazam,24,7,0.2916666666666667,11,3.0,5,2,3,10,win,2,2,10,6,0,0,0
