dataset,episode_id,win,first,opp_sid,opp_name,archetype,own_turns,attack_turns,attack_rate,attacks,first_attack_turn,missed_attack_opportunities,spidops_evolutions,spidops_accelerations,retreats,loss_cause,final_my_prizes,final_opp_prizes,final_deck,final_board,mewtwo_bonus0,mewtwo_bonus1,mewtwo_bonus2
ours,85789143,True,False,54175600,Emanuel Lázaro,Mega Lucario ex + Riolu,9,3,0.3333333333333333,4,2.0,2,2,0,6,win,3,2,19,5,0,0,0
ours,85788665,True,True,54137278,jun.2.tam,Crustle + Dwebble,13,5,0.38461538461538464,7,6.0,2,3,4,2,win,4,1,15,6,0,0,0
ours,85788201,True,False,54316887,zackgow,Mega Starmie ex + Cinderace,3,2,0.6666666666666666,3,2.0,1,0,0,1,win,6,5,36,4,0,0,0
ours,85787726,True,True,54147986,Tyshi79,Fezandipiti ex + Kadabra,9,5,0.5555555555555556,5,2.0,1,2,0,2,win,2,5,25,5,0,0,0
ours,85787250,False,True,53853945,NiaAtSyzd,Mega Lucario ex + Riolu,9,4,0.4444444444444444,5,2.0,1,3,2,4,other,3,1,21,5,0,0,0
ours,85786721,True,False,53788279,SHUN_04,Mega Lucario ex + Riolu,11,4,0.36363636363636365,6,6.0,3,2,1,5,win,1,1,21,4,0,0,0
ours,85786283,False,True,53983600,daniel,Mega Kangaskhan ex + Crustle,18,9,0.5,11,3.0,3,1,0,6,other,5,1,4,4,0,0,0
ours,85785849,False,False,54172134,poolim,Dragapult ex + Meowth ex,8,2,0.25,3,2.0,1,1,1,4,other,4,1,24,4,0,0,0
ours,85785318,True,False,54091284,Maxwell Goisman,Mega Sharpedo ex + Carvanha,2,1,0.5,2,2.0,1,1,0,3,win,6,6,38,4,0,0,0
ours,85784771,False,False,54410716,segehez,Mega Lucario ex + Flygon ex,10,3,0.3,5,2.0,4,3,2,3,other,5,1,14,6,0,0,0
ours,85784337,False,True,54186518,xyc6667,Mega Lucario ex + Riolu,7,2,0.2857142857142857,5,4.0,4,0,0,6,other,4,1,27,3,1,0,0
ours,85783852,False,True,54293080,yuanzhiyi,Mega Abomasnow ex + Snover,8,0,0.0,0,,1,2,0,2,other,6,1,24,5,0,0,0
ours,85783508,True,True,54012681,lowbackpain-slime,Teal Mask Ogerpon ex + Meowth ex,10,6,0.6,7,4.0,3,2,0,2,win,3,2,20,4,0,0,0
ours,85782881,False,True,54174502,balake235,Mega Starmie ex + Cinderace,6,2,0.3333333333333333,4,3.0,3,3,4,0,other,3,3,33,1,0,0,0
ours,85782419,True,False,53993420,Luke Stafford,Mega Lucario ex + Riolu,10,5,0.5,5,6.0,0,3,2,4,win,3,5,17,5,3,0,0
ours,85781952,False,True,53761193,Yuya Shintani,Teal Mask Ogerpon ex + Lillie’s Clefairy ex,9,2,0.2222222222222222,4,7.0,4,3,2,1,other,1,1,19,5,0,0,0
ours,85781456,False,True,54537996,Active Grass Touchers,Dragapult ex + Meowth ex,9,3,0.3333333333333333,6,2.0,3,2,1,5,other,2,1,26,5,1,0,0
ours,85780964,True,True,54613048,ノノノノノノノノ,Mega Gengar ex + Marnie's Grimmsnarl ex,12,6,0.5,7,6.0,2,3,3,1,win,2,4,20,5,5,0,0
ours,85780509,True,True,53933172,Rushil Ramachandran,Mega Starmie ex + Cinderace,2,1,0.5,1,2.0,0,1,0,0,win,6,6,37,5,0,0,0
ours,85780035,False,False,53812424,ntk_ta01,Mega Kangaskhan ex + Dwebble,16,4,0.25,8,2.0,4,1,0,6,other,4,2,9,4,0,0,0
ours,85779557,False,True,53822558,shanpu,Mega Abomasnow ex + Snover,9,3,0.3333333333333333,6,3.0,4,3,3,1,other,4,1,28,4,0,0,0
ours,85779082,True,False,54635721,たたたた,Fezandipiti ex + Alakazam,6,1,0.16666666666666666,2,2.0,1,3,5,3,win,5,5,18,6,0,0,0
ours,85778602,False,False,54643479,okaze92,Mega Lucario ex + Riolu,1,0,0.0,0,,0,0,0,0,other,6,6,46,1,0,0,0
ours,85778123,False,True,54610313,x1angM,Mega Kangaskhan ex + Crustle,26,18,0.6923076923076923,24,3.0,5,2,2,2,deckout,2,1,0,4,0,0,0
ours,85777641,False,True,54602994,ことこと,Team Rocket's Mewtwo ex + Lillie’s Clefairy ex,8,2,0.25,3,3.0,2,1,0,4,other,5,1,34,2,0,0,0
ours,85777171,False,True,54428621,adakoda,Archaludon ex + Cinderace,6,0,0.0,2,,2,1,1,3,other,6,1,21,5,0,0,0
ours,85776694,False,False,53976693,Pratham Jain,Mega Lucario ex + Riolu,6,1,0.16666666666666666,3,5.0,3,2,1,4,other,5,1,22,3,0,0,0
ours,85776226,True,True,54293723,williamm,Archaludon ex + Cinderace,2,1,0.5,1,2.0,0,1,0,0,win,6,6,36,6,0,0,0
ours,85775761,True,False,54428099,Konno Ryoya,Mega Starmie ex + Mega Froslass ex,10,3,0.3,4,7.0,1,1,0,1,win,3,2,14,4,1,1,0
