team,rank,energy,target,count,per_game
Yushin Ito,3,Basic {P} Energy,Fezandipiti ex,4,0.04
Yushin Ito,3,Enriching Energy,Alakazam,4,0.04
Yushin Ito,3,Telepath Psychic Energy,Dunsparce,4,0.04
Yushin Ito,3,Telepath Psychic Energy,Fezandipiti ex,4,0.04
Yushin Ito,3,Basic {P} Energy,Shaymin,2,0.02
Yushin Ito,3,Telepath Psychic Energy,Shaymin,1,0.01
bono,4,Telepath Psychic Energy,Alakazam,115,1.1616161616161615
bono,4,Basic {P} Energy,Alakazam,92,0.9292929292929293
bono,4,Telepath Psychic Energy,Abra,56,0.5656565656565656
bono,4,Telepath Psychic Energy,Kadabra,48,0.48484848484848486
bono,4,Basic {P} Energy,Kadabra,43,0.43434343434343436
bono,4,Enriching Energy,Dunsparce,38,0.3838383838383838
bono,4,Basic {P} Energy,Abra,27,0.2727272727272727
bono,4,Enriching Energy,Dudunsparce,10,0.10101010101010101
bono,4,Enriching Energy,Kadabra,9,0.09090909090909091
bono,4,Telepath Psychic Energy,Fezandipiti ex,8,0.08080808080808081
bono,4,Telepath Psychic Energy,Shaymin,7,0.0707070707070707
bono,4,Enriching Energy,Shaymin,6,0.06060606060606061
bono,4,Enriching Energy,Fezandipiti ex,5,0.050505050505050504
bono,4,Telepath Psychic Energy,Dunsparce,4,0.04040404040404041
bono,4,Telepath Psychic Energy,Dudunsparce,3,0.030303030303030304
bono,4,Basic {P} Energy,Dudunsparce,2,0.020202020202020204
bono,4,Basic {P} Energy,Dunsparce,2,0.020202020202020204
bono,4,Basic {P} Energy,Fezandipiti ex,2,0.020202020202020204
bono,4,Basic {P} Energy,Shaymin,2,0.020202020202020204
bono,4,Enriching Energy,Abra,2,0.020202020202020204
bono,4,Enriching Energy,Alakazam,2,0.020202020202020204
LiamK,7,Telepath Psychic Energy,Alakazam,114,1.1515151515151516
LiamK,7,Basic {P} Energy,Alakazam,92,0.9292929292929293
LiamK,7,Telepath Psychic Energy,Abra,69,0.696969696969697
LiamK,7,Telepath Psychic Energy,Kadabra,46,0.46464646464646464
LiamK,7,Basic {P} Energy,Kadabra,30,0.30303030303030304
LiamK,7,Basic {P} Energy,Abra,26,0.26262626262626265
LiamK,7,Telepath Psychic Energy,Fezandipiti ex,16,0.16161616161616163
LiamK,7,Basic {P} Energy,Fezandipiti ex,15,0.15151515151515152
LiamK,7,Telepath Psychic Energy,Dunsparce,8,0.08080808080808081
LiamK,7,Basic {P} Energy,Dunsparce,5,0.050505050505050504
LiamK,7,Basic {P} Energy,Dudunsparce,1,0.010101010101010102
LiamK,7,Telepath Psychic Energy,Dudunsparce,1,0.010101010101010102
Rmy,9,Basic {P} Energy,Alakazam,130,1.3131313131313131
Rmy,9,Telepath Psychic Energy,Alakazam,91,0.9191919191919192
Rmy,9,Telepath Psychic Energy,Abra,61,0.6161616161616161
Rmy,9,Telepath Psychic Energy,Kadabra,48,0.48484848484848486
Rmy,9,Enriching Energy,Dunsparce,36,0.36363636363636365
Rmy,9,Basic {P} Energy,Kadabra,31,0.31313131313131315
Rmy,9,Basic {P} Energy,Abra,17,0.1717171717171717
Rmy,9,Enriching Energy,Fezandipiti ex,9,0.09090909090909091
Rmy,9,Telepath Psychic Energy,Fezandipiti ex,9,0.09090909090909091
Rmy,9,Enriching Energy,Abra,7,0.0707070707070707
Rmy,9,Enriching Energy,Dudunsparce,7,0.0707070707070707
Rmy,9,Enriching Energy,Shaymin,7,0.0707070707070707
Rmy,9,Basic {P} Energy,Fezandipiti ex,6,0.06060606060606061
Rmy,9,Enriching Energy,Kadabra,6,0.06060606060606061
Rmy,9,Basic {P} Energy,Dunsparce,4,0.04040404040404041
Rmy,9,Telepath Psychic Energy,Dunsparce,3,0.030303030303030304
Rmy,9,Telepath Psychic Energy,Shaymin,3,0.030303030303030304
Rmy,9,Basic {P} Energy,Shaymin,2,0.020202020202020204
Rmy,9,Enriching Energy,Alakazam,2,0.020202020202020204
THIRD PTCG Club,15,Telepath Psychic Energy,Alakazam,136,1.3737373737373737
THIRD PTCG Club,15,Basic {P} Energy,Alakazam,105,1.0606060606060606
THIRD PTCG Club,15,Telepath Psychic Energy,Abra,52,0.5252525252525253
THIRD PTCG Club,15,Enriching Energy,Dunsparce,26,0.26262626262626265
THIRD PTCG Club,15,Telepath Psychic Energy,Kadabra,26,0.26262626262626265
THIRD PTCG Club,15,Basic {P} Energy,Abra,15,0.15151515151515152
THIRD PTCG Club,15,Enriching Energy,Abra,15,0.15151515151515152
THIRD PTCG Club,15,Basic {P} Energy,Kadabra,12,0.12121212121212122
THIRD PTCG Club,15,Enriching Energy,Dudunsparce,11,0.1111111111111111
THIRD PTCG Club,15,Enriching Energy,Alakazam,10,0.10101010101010101
THIRD PTCG Club,15,Enriching Energy,Fezandipiti ex,10,0.10101010101010101
THIRD PTCG Club,15,Telepath Psychic Energy,Fezandipiti ex,10,0.10101010101010101
THIRD PTCG Club,15,Enriching Energy,Shaymin,8,0.08080808080808081
THIRD PTCG Club,15,Telepath Psychic Energy,Shaymin,7,0.0707070707070707
THIRD PTCG Club,15,Basic {P} Energy,Shaymin,5,0.050505050505050504
THIRD PTCG Club,15,Basic {P} Energy,Dunsparce,4,0.04040404040404041
THIRD PTCG Club,15,Basic {P} Energy,Fezandipiti ex,4,0.04040404040404041
THIRD PTCG Club,15,Telepath Psychic Energy,Dunsparce,4,0.04040404040404041
THIRD PTCG Club,15,Enriching Energy,Kadabra,3,0.030303030303030304
matsurih,16,Basic {P} Energy,Alakazam,119,1.202020202020202
matsurih,16,Telepath Psychic Energy,Alakazam,92,0.9292929292929293
matsurih,16,Telepath Psychic Energy,Abra,58,0.5858585858585859
matsurih,16,Enriching Energy,Dunsparce,35,0.35353535353535354
matsurih,16,Basic {P} Energy,Kadabra,32,0.32323232323232326
matsurih,16,Telepath Psychic Energy,Kadabra,28,0.2828282828282828
matsurih,16,Basic {P} Energy,Abra,16,0.16161616161616163
matsurih,16,Enriching Energy,Fezandipiti ex,11,0.1111111111111111
matsurih,16,Telepath Psychic Energy,Dunsparce,7,0.0707070707070707
matsurih,16,Enriching Energy,Kadabra,6,0.06060606060606061
matsurih,16,Basic {P} Energy,Fezandipiti ex,5,0.050505050505050504
matsurih,16,Enriching Energy,Abra,5,0.050505050505050504
matsurih,16,Enriching Energy,Alakazam,3,0.030303030303030304
matsurih,16,Telepath Psychic Energy,Fezandipiti ex,3,0.030303030303030304
matsurih,16,Telepath Psychic Energy,Shaymin,3,0.030303030303030304
matsurih,16,Basic {P} Energy,Dunsparce,2,0.020202020202020204
matsurih,16,Enriching Energy,Shaymin,2,0.020202020202020204
matsurih,16,Basic {P} Energy,Dudunsparce,1,0.010101010101010102
matsurih,16,Basic {P} Energy,Shaymin,1,0.010101010101010102
matsurih,16,Telepath Psychic Energy,Dudunsparce,1,0.010101010101010102
ei ei ei yikuso,17,Telepath Psychic Energy,Alakazam,108,1.0909090909090908
ei ei ei yikuso,17,Basic {P} Energy,Alakazam,91,0.9191919191919192
ei ei ei yikuso,17,Telepath Psychic Energy,Abra,50,0.5050505050505051
ei ei ei yikuso,17,Basic {P} Energy,Kadabra,37,0.37373737373737376
ei ei ei yikuso,17,Telepath Psychic Energy,Kadabra,36,0.36363636363636365
ei ei ei yikuso,17,Enriching Energy,Dunsparce,18,0.18181818181818182
ei ei ei yikuso,17,Basic {P} Energy,Abra,14,0.1414141414141414
ei ei ei yikuso,17,Enriching Energy,Fezandipiti ex,14,0.1414141414141414
ei ei ei yikuso,17,Enriching Energy,Abra,13,0.13131313131313133
ei ei ei yikuso,17,Enriching Energy,Kadabra,11,0.1111111111111111
ei ei ei yikuso,17,Enriching Energy,Shaymin,8,0.08080808080808081
ei ei ei yikuso,17,Basic {P} Energy,Fezandipiti ex,6,0.06060606060606061
ei ei ei yikuso,17,Basic {P} Energy,Dudunsparce,5,0.050505050505050504
ei ei ei yikuso,17,Enriching Energy,Dudunsparce,5,0.050505050505050504
ei ei ei yikuso,17,Telepath Psychic Energy,Fezandipiti ex,5,0.050505050505050504
ei ei ei yikuso,17,Basic {P} Energy,Shaymin,3,0.030303030303030304
ei ei ei yikuso,17,Telepath Psychic Energy,Dudunsparce,3,0.030303030303030304
ei ei ei yikuso,17,Basic {P} Energy,Dunsparce,2,0.020202020202020204
ei ei ei yikuso,17,Telepath Psychic Energy,Shaymin,2,0.020202020202020204
ei ei ei yikuso,17,Telepath Psychic Energy,Dunsparce,1,0.010101010101010102
