rank,team,card,turn_uses_per_game,avg_use_turn,attack_same_turn_rate,ko_same_turn_rate,games_used,win_rate_when_used,win_rate_when_not_used
9,Rmy,Sacred Ash,0.5151515151515151,5.764705882352941,0.8627450980392157,0.6470588235294118,51,0.5294117647058824,0.7083333333333334
9,Rmy,Xerosic’s Machinations,1.5656565656565657,5.012903225806451,0.7741935483870968,0.567741935483871,78,0.6153846153846154,0.6190476190476191
15,THIRD PTCG Club,Boss’s Orders,0.5454545454545454,5.203703703703703,0.6666666666666666,0.5,38,0.5,0.6721311475409836
15,THIRD PTCG Club,Buddy-Buddy Poffin,1.5555555555555556,3.272727272727273,0.5324675324675324,0.3181818181818182,84,0.5595238095238095,0.8666666666666667
15,THIRD PTCG Club,Dawn,1.101010101010101,3.522935779816514,0.5871559633027523,0.3211009174311927,76,0.6052631578947368,0.6086956521739131
15,THIRD PTCG Club,Dudunsparce,2.0303030303030303,7.213930348258707,0.7562189054726368,0.39800995024875624,82,0.5853658536585366,0.7058823529411765
15,THIRD PTCG Club,Enhanced Hammer,0.7878787878787878,4.435897435897436,0.6538461538461539,0.2948717948717949,49,0.5714285714285714,0.64
15,THIRD PTCG Club,Hilda,1.0505050505050506,3.9615384615384617,0.7019230769230769,0.33653846153846156,69,0.5942028985507246,0.6333333333333333
15,THIRD PTCG Club,Jamming Tower,1.1818181818181819,3.1709401709401708,0.6153846153846154,0.358974358974359,88,0.5909090909090909,0.7272727272727273
15,THIRD PTCG Club,Lana’s Aid,0.6565656565656566,5.415384615384616,0.8615384615384616,0.6,65,0.5076923076923077,0.7941176470588235
15,THIRD PTCG Club,Night Stretcher,0.6363636363636364,4.571428571428571,0.8571428571428571,0.5873015873015873,63,0.5238095238095238,0.75
15,THIRD PTCG Club,Poké Pad,1.7676767676767677,3.4114285714285715,0.5314285714285715,0.32571428571428573,91,0.5934065934065934,0.75
15,THIRD PTCG Club,Rare Candy,1.0,3.4545454545454546,0.7878787878787878,0.5959595959595959,82,0.5975609756097561,0.6470588235294118
15,THIRD PTCG Club,Sacred Ash,0.6060606060606061,5.4,0.7666666666666667,0.5666666666666667,60,0.5,0.7692307692307693
15,THIRD PTCG Club,Xerosic’s Machinations,1.393939393939394,4.7898550724637685,0.8260869565217391,0.6014492753623188,80,0.625,0.5263157894736842
16,matsurih,Boss’s Orders,0.5454545454545454,6.592592592592593,0.9259259259259259,0.7592592592592593,39,0.5384615384615384,0.75
16,matsurih,Buddy-Buddy Poffin,1.3131313131313131,2.576923076923077,0.5538461538461539,0.2846153846153846,84,0.6785714285714286,0.6
16,matsurih,Dawn,1.202020202020202,2.8403361344537816,0.680672268907563,0.2773109243697479,82,0.6707317073170732,0.6470588235294118
16,matsurih,Dudunsparce,2.919191919191919,6.346020761245675,0.7923875432525952,0.46366782006920415,93,0.6774193548387096,0.5
16,matsurih,Enhanced Hammer,1.3232323232323233,4.526717557251908,0.7786259541984732,0.5114503816793893,66,0.6060606060606061,0.7878787878787878
16,matsurih,Hilda,0.8888888888888888,3.1136363636363638,0.7272727272727273,0.3409090909090909,69,0.6376811594202898,0.7333333333333333
16,matsurih,Lana’s Aid,0.5151515151515151,5.019607843137255,0.9215686274509803,0.6078431372549019,51,0.6274509803921569,0.7083333333333334
16,matsurih,Night Stretcher,0.5757575757575758,4.473684210526316,0.8947368421052632,0.7368421052631579,57,0.6666666666666666,0.6666666666666666
16,matsurih,Nighttime Mine,0.32323232323232326,3.90625,0.71875,0.46875,31,0.6774193548387096,0.6617647058823529
16,matsurih,Poké Pad,1.606060606060606,2.9182389937106916,0.5849056603773585,0.3522012578616352,87,0.6781609195402298,0.5833333333333334
16,matsurih,Rare Candy,0.9393939393939394,3.774193548387097,0.8172043010752689,0.6236559139784946,72,0.6944444444444444,0.5925925925925926
16,matsurih,Sacred Ash,0.46464646464646464,5.3478260869565215,0.8913043478260869,0.6956521739130435,46,0.6304347826086957,0.6981132075471698
16,matsurih,Xerosic’s Machinations,0.9191919191919192,6.054945054945055,0.8021978021978022,0.5604395604395604,55,0.6181818181818182,0.7272727272727273
17,ei ei ei yikuso,Boss’s Orders,0.6868686868686869,5.426470588235294,0.7205882352941176,0.5294117647058824,46,0.4782608695652174,0.7547169811320755
17,ei ei ei yikuso,Buddy-Buddy Poffin,1.3434343434343434,2.5413533834586466,0.46616541353383456,0.24812030075187969,82,0.5975609756097561,0.7647058823529411
17,ei ei ei yikuso,Dawn,1.0404040404040404,2.650485436893204,0.6019417475728155,0.33980582524271846,75,0.64,0.5833333333333334
17,ei ei ei yikuso,Dudunsparce,2.1818181818181817,5.407407407407407,0.8055555555555556,0.48148148148148145,85,0.6,0.7857142857142857
17,ei ei ei yikuso,Enhanced Hammer,0.7878787878787878,4.0,0.7564102564102564,0.46153846153846156,43,0.6511627906976745,0.6071428571428571
17,ei ei ei yikuso,Hilda,0.6565656565656566,2.707692307692308,0.6,0.2,52,0.5769230769230769,0.6808510638297872
17,ei ei ei yikuso,Lana’s Aid,0.6060606060606061,4.783333333333333,0.85,0.5666666666666667,60,0.55,0.7435897435897436
17,ei ei ei yikuso,Night Stretcher,0.6161616161616161,4.573770491803279,0.8360655737704918,0.6229508196721312,61,0.6229508196721312,0.631578947368421
17,ei ei ei yikuso,Nighttime Mine,0.32323232323232326,3.6875,0.5625,0.1875,23,0.43478260869565216,0.6842105263157895
17,ei ei ei yikuso,Poké Pad,1.3636363636363635,2.8222222222222224,0.4,0.1925925925925926,84,0.5952380952380952,0.8
17,ei ei ei yikuso,Rare Candy,0.8080808080808081,3.3,0.8,0.575,64,0.625,0.6285714285714286
17,ei ei ei yikuso,Sacred Ash,0.46464646464646464,4.782608695652174,0.7608695652173914,0.5217391304347826,46,0.45652173913043476,0.7735849056603774
17,ei ei ei yikuso,Xerosic’s Machinations,1.5353535353535352,4.782894736842105,0.756578947368421,0.5789473684210527,73,0.589041095890411,0.7307692307692307
